date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,chambre,indexscore
Tue Apr 27 11:52:07 2021,"
Appartement à vendre à LUXEMBOURG-HOLLERICH
1H241
",TRUE,FALSE,TRUE,625 000,https://www.immotop.lu/properties/used/apartment/2475505,252,,3,1952,0,70. Ch,0,0,0,0,4,0,3,0.6
Tue Apr 27 11:56:44 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1GWKV
",TRUE,TRUE,TRUE,895 000,https://www.immotop.lu/properties/used/apartment/2468335,585,,2,2008,0,101.76,0,0,0,0,-1,0,2,0.5
Tue Apr 27 11:49:50 2021,"
Penthouse à vendre à LUXEMBOURG-CESSANGE
1H234
",TRUE,FALSE,TRUE,2 130 982,https://www.immotop.lu/properties/new/apartment/penthouse/2475472,72,,3,-1,1,157.67,0,0,0,0,3,0,3,0.49999999999999994
Tue Apr 27 11:49:06 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H251
",TRUE,FALSE,TRUE,0,https://www.immotop.lu/properties/used/apartment/2475541,12,,2,-1,0,102. C,0,1,0,0,-1,0,2,0.45000000000000007
Tue Apr 27 11:51:26 2021,"
Appartement à vendre à LUXEMBOURG-BEGGEN
1H2OY
",TRUE,FALSE,TRUE,648 000,https://www.immotop.lu/properties/used/apartment/2476258,196,,1,-1,0,53. Ch,0,1,0,0,1,0,1,0.45000000000000007
Tue Apr 27 11:51:27 2021,"
Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1H2MV
",TRUE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2476183,197,,1,-1,0,46.49.,0,1,0,0,2,0,1,0.45000000000000007
Tue Apr 27 11:51:27 2021,"
Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1H2MS
",TRUE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2476180,197,,1,-1,0,46.49.,0,1,0,0,1,0,1,0.45000000000000007
Tue Apr 27 11:51:27 2021,"
Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1H2MP
",TRUE,FALSE,TRUE,806 987,https://www.immotop.lu/properties/new/apartment/2476177,197,,1,-1,0,46.49.,0,1,0,0,-1,0,1,0.45000000000000007
Tue Apr 27 11:52:07 2021,"
Appartement à vendre à LUXEMBOURG-CESSANGE
1H25D
",TRUE,FALSE,TRUE,615 000,https://www.immotop.lu/properties/used/apartment/2475553,251,,1,2006,1,52. Ch,0,1,0,0,-1,0,1,0.45000000000000007
Tue Apr 27 11:52:08 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
1H22Y
",TRUE,FALSE,TRUE,810 000,https://www.immotop.lu/properties/used/apartment/2475466,253,,1,-1,0,70. Ch,0,1,0,0,2,0,1,0.45000000000000007
Tue Apr 27 12:07:56 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1EY75
",TRUE,FALSE,TRUE,860 000,https://www.immotop.lu/properties/used/apartment/2377121,1441,,2,1988,0,85. Ch,0,1,0,0,1,0,2,0.45000000000000007
Tue Apr 27 12:21:18 2021,"
Appartement à vendre à LUXEMBOURG-BEGGEN
103K9
",TRUE,FALSE,TRUE,647 000,https://www.immotop.lu/properties/used/apartment/1684233,2452,,1,-1,0,55. Ch,0,1,0,0,1,0,1,0.45000000000000007
Tue Apr 27 11:49:59 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H1XJ
",TRUE,FALSE,TRUE,1 280 000,https://www.immotop.lu/properties/used/apartment/2475271,86,,3,1975,0,108. C,0,1,0,0,3,0,3,0.45
Tue Apr 27 11:49:04 2021,"
Appartement à vendre à LUXEMBOURG-LIMPERTSBERG
1H2OG
",TRUE,FALSE,TRUE,670 000,https://www.immotop.lu/properties/used/apartment/2476240,9,,1,1970,0,55. Ch,0,0,0,0,4,0,1,0.4000000000000001
Tue Apr 27 11:49:52 2021,"
Appartement à vendre à LUXEMBOURG-CLAUSEN
1GPSJ
",TRUE,FALSE,TRUE,650 000,https://www.immotop.lu/properties/used/apartment/2459539,74,,1,-1,0,60. Ch,0,0,0,0,-1,0,1,0.4000000000000001
Tue Apr 27 11:49:52 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1H2NM
",TRUE,FALSE,TRUE,849 000,https://www.immotop.lu/properties/used/apartment/2476210,74,,2,-1,0,74. Ch,0,0,0,0,-1,0,2,0.4000000000000001
Tue Apr 27 11:51:26 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1H2QM
",TRUE,FALSE,TRUE,790 000,https://www.immotop.lu/properties/used/apartment/2476318,196,,NA,-1,-1,NA,-1,-1,NA,NA,-1,-1,0,0.4000000000000001
Tue Apr 27 11:51:27 2021,"
Appartement à vendre à LUXEMBOURG-GARE
1H2N7
",TRUE,FALSE,TRUE,999 000,https://www.immotop.lu/properties/used/apartment/2476195,197,,2,-1,0,116. C,0,0,0,0,1,0,2,0.4000000000000001
Tue Apr 27 11:51:28 2021,"
Fonds de commerce à vendre à LUXEMBOURG-HOLLERICH
1H2KY
",TRUE,FALSE,TRUE,130 000,https://www.immotop.lu/properties/used/business/2476114,199,,NA,-1,0,NA,0,0,0,0,-1,0,0,0.4000000000000001
Tue Apr 27 11:48:59 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1H2RA
",TRUE,FALSE,TRUE,84 900 000,https://www.immotop.lu/properties/used/apartment/2476342,7,,3,1989,0,100. C,0,0,0,0,1,0,3,0.39999999999999997
Tue Apr 27 12:04:44 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
15NKW
",TRUE,FALSE,TRUE,753 124,https://www.immotop.lu/properties/new/apartment/1943456,1196,,2,2020,0,58.74.,0,1,0,0,4,0,2,0.3500000000000001
Tue Apr 27 11:51:27 2021,"
Maison à vendre à LUXEMBOURG-BEGGEN
1H2NJ
",TRUE,FALSE,TRUE,1 199 000,https://www.immotop.lu/properties/used/house/2476207,197,,4,-1,1,140. C,0,1,0,0,-1,0,4,0.35000000000000003
Tue Apr 27 11:49:00 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1H2NS
",TRUE,FALSE,TRUE,2 540 000,https://www.immotop.lu/properties/new/house/2476216,8,,5,-1,1,290. C,0,0,0,0,2,0,5,0.3
Tue Apr 27 11:49:00 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1H2O1
",TRUE,FALSE,TRUE,2 644 000,https://www.immotop.lu/properties/new/house/2476225,8,,6,-1,1,287. C,0,0,0,0,2,0,6,0.3
Tue Apr 27 12:03:12 2021,"
Appartement à vendre à LUXEMBOURG-CENTRE
1BXOJ
",TRUE,FALSE,TRUE,2 130 231,https://www.immotop.lu/properties/new/apartment/2236483,1066,,2,-1,1,151. C,0,0,0,0,3,0,2,0.3
Tue Apr 27 11:49:06 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H25J
",TRUE,FALSE,TRUE,1 140 500,https://www.immotop.lu/properties/used/apartment/2475559,12,,NA,-1,0,102. É,0,1,0,0,1,0,0,0.25000000000000006
Tue Apr 27 11:51:27 2021,"
Résidence à vendre à LUXEMBOURG-WEIMERSKIRCH
1H2MM
",TRUE,FALSE,TRUE,de 778 140  à 806 987,https://www.immotop.lu/properties/new/residence/2476174,198,,NA,-1,0,NA,0,0,0,0,-1,0,0,0.20000000000000007
Tue Apr 27 11:52:07 2021,"
Maison à vendre à LUXEMBOURG-LIMPERTSBERG
1H23S
",TRUE,FALSE,TRUE,4 000 000,https://www.immotop.lu/properties/used/house/2475496,252,,5,1989,0,396. C,0,0,0,0,3,0,5,0.20000000000000007
Tue Apr 27 11:49:06 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H264
",TRUE,FALSE,TRUE,1 094 900,https://www.immotop.lu/properties/used/apartment/2475580,12,,2,2021,0,92. Ch,0,1,0,0,2,0,2,0.15000000000000008
Tue Apr 27 11:49:06 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H25Y
",TRUE,FALSE,TRUE,1 089 700,https://www.immotop.lu/properties/used/apartment/2475574,12,,2,2021,0,78. Ch,0,1,0,0,3,0,2,0.15000000000000008
Tue Apr 27 11:49:06 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H25V
",TRUE,FALSE,TRUE,1 141 100,https://www.immotop.lu/properties/used/apartment/2475571,12,,2,2021,0,92. Ch,0,1,0,0,1,0,2,0.15000000000000008
Tue Apr 27 11:49:06 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H257
",TRUE,FALSE,TRUE,1 110 210,https://www.immotop.lu/properties/used/apartment/2475547,12,,2,2021,0,82. Ch,0,1,0,0,3,0,2,0.15000000000000008
Tue Apr 27 11:52:07 2021,"
Immeuble de rapport à vendre à LUXEMBOURG-DOMMELDANGE
1H24J
",TRUE,FALSE,TRUE,14 000 000,https://www.immotop.lu/properties/used/building-of-flats/2475523,252,,NA,2013,0,1125. ,0,0,0,0,-1,0,0,0.10000000000000003
